#TN	Raw1	Raw2	Raw3	Raw4	Raw5	Raw6	#	#한글명	TN	구분	성격	비고	출처	
#	蒴𧄒						#	#				𧄒	광제비급	
#	𧄒麥						#	#					광제비급	
#	𦭷芒						#	#					광제비급	
#	𦭷稻芒						#	#					광제비급	
#							#	#	狵				광제비급	
#							#	#	觸				광제비급	
#							#	#	盫				광제비급	
率谷	蟀谷	率角					#	placehold		경혈				
天衝	天衢						#	placehold		경혈				
至營	至宮						#	placehold		경혈				
髆井	縛井						#	placehold		경혈				
淵腋	淵掖	淵液	澗腋				#	placehold		경혈				
環跳	環銚						#	placehold		경혈				
髖骨_B	臏骨						#	placehold		경혈				
韭汁	韭汴	韮汴					#	placehold						
乳汁	乳汴						#	placehold						
取汁	取汴						#	placehold						
黃汁	黃汴						#	placehold						
煎汁	煎汴						#	placehold						
薑汁	薑汴	干汴					#	placehold						
膽汁	膽汴						#	placehold						
糞汁	糞汴						#	placehold						
作汁	作汴						#	placehold						
浸汁	浸汴						#	placehold						
液汁	液汴						#	placehold						
膿汁	膿汴						#	placehold						
果實汁	果實汴						#	placehold						
虀汁	虀汴						#	placehold						
秋麰	秋牟						#	placehold						
石膏	石羔						#	placehold						
綠豆	菉豆						#	placehold						
粳米	梗米						#	placehold						
滑石	活石						#	placehold						
秋麰	秋牟						#	placehold						
石膏	石羔						#	placehold						
綠豆	菉豆						#	placehold						
粳米	梗米						#	placehold						
滑石	活石						#	placehold						
薺苨	薺尼						#	placehold						
懊憹	懊儂						#	오농						
